ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
1537523550,CCycDD3fIlTbovU6Mj,192.168.2.3,38715,54.239.27.11,443,tcp,ssl,19.529914,3536,5516,SF,NA,NA,0,ShADadfF,26,4644,22,7435,NA,-
1537523569,Chk7KCwfiWwLyRuvl,192.168.2.3,38719,54.239.27.11,443,tcp,ssl,2.583787,3624,5516,SF,NA,NA,0,ShADadftF,24,4664,23,7508,NA,-
1537523569,CFaohnkVC8o13k7Oj,192.168.2.3,26518,192.168.2.1,53,udp,dns,0.013578,38,54,SF,NA,NA,0,Dd,1,66,1,82,NA,-
1537523549,CjKeZc5L7G2Gi3J7e,192.168.2.3,5353,224.0.0.251,5353,udp,dns,38.59536,3888,0,S0,NA,NA,0,D,29,4700,0,0,NA,-
1537523549,CrapdF3jsXByGllvU,fe80::4eef:c0ff:fe27:561e,5353,ff02::fb,5353,udp,dns,38.175279,1818,0,S0,NA,NA,0,D,17,2634,0,0,NA,-
1537523549,CaCceb4pNJvXW0Wpi5,NA,135,ff02::1:ff27:561e,136,icmp,NA,NA,NA,NA,OTH,NA,NA,0,NA,1,64,0,0,NA,-
1537523549,CgQ9Qx3uxeeE5RHBt7,NA,143,ff02::16,0,icmp,NA,0.00434,40,0,OTH,NA,NA,0,NA,2,152,0,0,NA,-
1537523549,C5oyxh1Kt1zrnW4p65,192.168.2.3,68,192.168.2.1,67,udp,dhcp,0.004204,0,600,SHR,NA,NA,0,^d,0,0,2,656,NA,-
1537523549,C9fMT47Zju8ez4tPg,192.168.2.3,37852,78.108.145.1,123,udp,NA,0.018262,48,48,SF,NA,NA,0,Dd,1,76,1,76,NA,-
1537523549,CixnZF4hn3eTK6aQq7,192.168.2.3,55506,78.108.145.1,123,udp,NA,0.023151,48,48,SF,NA,NA,0,Dd,1,76,1,76,NA,-
1537523549,CsTv7EaW6dWj8Wblh,192.168.2.3,8,192.168.2.1,0,icmp,NA,0.055415,560,560,OTH,NA,NA,0,NA,10,840,10,840,NA,-
1537523550,CU66t5UJdvM0rhAn7,192.168.2.3,53862,72.21.192.213,123,udp,NA,NA,NA,NA,S0,NA,NA,0,D,1,76,0,0,NA,-
1537523550,CBK7m92Phb3O75iUg9,192.168.2.3,59979,72.21.192.213,123,udp,NA,NA,NA,NA,S0,NA,NA,0,D,1,76,0,0,NA,-
1537523604,CSksLA2nDDu4uby0Fa,192.168.2.3,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,146,0,0,NA,-
1537523604,Cb9PSB5YpnoX9j6x5,fe80::4eef:c0ff:fe27:561e,5353,ff02::fb,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,166,0,0,NA,-
1537523549,CfbrbP3GfMZFafFU07,fe80::4eef:c0ff:fe27:561e,133,ff02::2,134,icmp,NA,7.550691,24,0,OTH,NA,NA,0,NA,3,168,0,0,NA,-
1537523553,CGTkrg3QacXtWyvPgg,192.168.2.3,34333,176.32.101.122,443,tcp,ssl,72.484195,7385,5380,RSTR,NA,NA,0,ShADadr,16,8045,14,5952,NA,-
1537523556,CM97uj3IwoFQWl2Bd4,192.168.2.3,60004,54.239.31.37,443,tcp,ssl,69.633449,6965,5131,RSTR,NA,NA,0,ShADadfr,24,7981,21,6496,NA,-
1537523549,Cm7MOb4IDb3a4xpNV7,fe80::4eef:c0ff:fe27:561e,143,ff02::16,0,icmp,NA,23.370275,100,0,OTH,NA,NA,0,NA,5,380,0,0,NA,-
1537523560,C8CTdr4x34KJ6WfAT,192.168.2.3,50862,52.119.196.25,443,tcp,ssl,72.433771,1418,5131,RSTR,NA,NA,0,ShADadr,11,1878,10,5539,NA,-
1537523628,CCZhBu1k3Del4mxHJg,192.168.2.1,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,391,0,0,NA,-
1537523628,C1UGR4PQx0zAPrMFc,fe80::80e6:50ff:fe12:1464,5353,ff02::fb,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,411,0,0,NA,-
1537523628,CNkYIR2hlu4JFsyDI2,169.254.15.115,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,391,0,0,NA,-
1537523566,CfLP7m17FFd0J8Fszd,192.168.2.3,39905,52.119.196.25,443,tcp,ssl,68.396072,4207,9458,RSTR,NA,NA,0,ShADadr,16,4867,18,10186,NA,-
1537523636,C0IRqN13XS6QoEHW19,192.168.2.3,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,117,0,0,NA,-
1537523636,CCk72F2wU0qm5pG4Zb,fe80::4eef:c0ff:fe27:561e,5353,ff02::fb,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,137,0,0,NA,-
1537523647,Cn0rRz3TcuXOTUIpwh,192.168.2.3,32998,54.239.29.194,443,tcp,ssl,0.674159,1289,6224,SF,NA,NA,0,ShADadFf,13,1829,13,6752,NA,-
1537523551,CdGvHE4J4YIVtnu9hh,192.168.2.3,43982,52.46.157.6,443,tcp,ssl,97.036123,2603,3842,RSTR,NA,NA,0,ShADadr,12,3103,11,4290,NA,-
1537523644,CF9S4T379Sm2y5rAv5,192.168.2.3,43870,192.168.2.1,53,udp,dns,0.013741,46,62,SF,NA,NA,0,Dd,1,74,1,90,NA,-
1537523647,CgUKKB1RKsjVxEEAV2,192.168.2.3,40286,192.168.2.1,53,udp,dns,0.044944,37,53,SF,NA,NA,0,Dd,1,65,1,81,NA,-
1537523541,CbMjdr2yPuZ0l6Rq9l,0.0.0.0,68,255.255.255.255,67,udp,dhcp,58.447015,3603,0,S0,NA,NA,0,D,12,3939,0,0,NA,-
1537523550,CJJOGq42QqBaaBpBR9,192.168.2.3,48275,176.32.98.106,443,tcp,ssl,123.033629,10345,17343,RSTR,NA,NA,0,ShADadr,31,11605,29,18511,NA,-
1537523552,CoMcJ8KwCk90a1VJf,192.168.2.3,46363,176.32.98.108,443,tcp,ssl,144.99944,8176,5893,RSTR,NA,NA,0,ShADadr,20,9008,15,7463,NA,-
1537523700,CRwgajnbXC865E2j7,192.168.2.3,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,117,0,0,NA,-
1537523700,CJp0sebFro1oS48og,fe80::4eef:c0ff:fe27:561e,5353,ff02::fb,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,137,0,0,NA,-
1537523554,CFbpRD18O5iE5gYFe2,192.168.2.3,43036,52.46.133.19,443,tcp,ssl,183.995564,19447,8767,RSTR,NA,NA,0,ShADadr,41,21107,30,9975,NA,-
1537523668,CnE4Od26Ra9JiKpAAf,0.0.0.0,68,255.255.255.255,67,udp,dhcp,60.15021,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523791,CPF4fb2BLEazNFdZve,192.168.2.3,4892,192.168.2.1,53,udp,dns,0.011258,37,53,SF,NA,NA,0,Dd,1,65,1,81,NA,-
1537523850,CMcL041K4LNdTjmd4g,192.168.2.3,40631,93.184.216.34,80,tcp,NA,0.237601,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523851,CJOXZn2AKum822MYFd,192.168.2.3,40632,93.184.216.34,80,tcp,NA,0.247405,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523851,CqKF1B11QpKaNmt1rl,192.168.2.3,40633,93.184.216.34,80,tcp,NA,0.24323,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523549,CvHclT2klh3h9euwAb,192.168.2.3,52984,52.216.16.8,80,tcp,http,301.53226,146,775,SF,NA,NA,0,ShADadfF,10,566,5,987,NA,-
1537523550,Cm4iZS3DMF29Hl34X,192.168.2.3,33043,52.119.164.214,443,tcp,ssl,9.028916,1090,6429,S3,NA,NA,0,ShADadf,14,1670,13,6957,NA,-
1537523550,C5KyfE1dfzdBtacei4,192.168.2.3,52496,52.119.164.214,443,tcp,ssl,9.175136,1093,7397,S3,NA,NA,0,ShADadf,15,1713,14,7965,NA,-
1537523550,CoFAut14qCO1WFO0s9,192.168.2.3,48278,52.119.164.214,443,tcp,ssl,9.102421,1090,6429,S3,NA,NA,0,ShADadf,14,1670,13,6957,NA,-
1537523850,CEfFtD1FN446qIPjBb,192.168.2.3,7396,192.168.2.1,53,udp,dns,0.000619,33,49,SF,NA,NA,0,Dd,1,61,1,77,NA,-
1537523552,CHNt44MhXhWfThiRb,192.168.2.3,41838,52.46.129.109,443,tcp,ssl,8.802702,2506,5330,S3,NA,NA,0,ShADadf,15,3126,14,5898,NA,-
1537523851,C2JpBokxgFzmvIxGb,192.168.2.3,13118,192.168.2.1,53,udp,dns,0.011442,43,111,SF,NA,NA,0,Dd,1,71,1,139,NA,-
1537523858,CNJPI9btLsvxBZgQ2,192.168.2.3,52984,52.216.16.8,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537523861,CdZbAQ3wwmtnO5A0yf,192.168.2.3,45229,52.94.241.86,80,tcp,http,0.23791,135,238,SF,NA,NA,0,ShADafF,4,315,4,406,NA,-
1537523861,CRma4Z3UogS9Vrq5Pc,192.168.2.3,58536,52.94.241.86,80,tcp,http,0.297082,157,371,SF,NA,NA,0,ShADafF,5,377,4,539,NA,-
1537523865,CrZxGJ33UeSb43hvA4,192.168.2.3,52984,52.216.16.8,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537523861,CcDTey12S4qsmrBKK7,192.168.2.3,33851,192.168.2.1,53,udp,dns,0.01062,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523861,CHnXMP1MUrmSVZOiqi,192.168.2.3,46586,192.168.2.1,53,udp,dns,0.000605,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537523879,Cv4TcZ1gc372tvwkCf,192.168.2.3,52984,52.216.16.8,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537523850,CCZ8n62P1ZkxIpuyC,192.168.2.3,8,192.168.2.1,0,icmp,NA,0.017713,560,560,OTH,NA,NA,0,NA,10,840,10,840,NA,-
1537523851,CllV1S1jaj49suguo6,192.168.2.3,38154,72.21.192.213,123,udp,NA,NA,NA,NA,S0,NA,NA,0,D,1,76,0,0,NA,-
1537523851,Chz6Zm1C8E6mOpZYD8,192.168.2.3,51315,72.21.192.213,123,udp,NA,NA,NA,NA,S0,NA,NA,0,D,1,76,0,0,NA,-
1537523907,Cz4nWK2XDvcghCLtqa,192.168.2.3,52984,52.216.16.8,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537523797,CxPjVk3JgKyOoaO4g,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.349602,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537523644,CHxxzr4b6auakBJHZc,192.168.2.3,34920,52.46.129.41,443,tcp,ssl,8.910511,11065,4865,S3,NA,NA,0,ShADadf,24,12069,19,6081,NA,-
1537523925,Cr9psD1xagQF9cr8wc,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.957043,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524044,CLpzbr3ZdCZWzzIU4h,192.168.2.3,33043,52.119.164.214,443,tcp,NA,0.176464,31,0,RSTR,NA,NA,0,DRr,2,111,1,40,NA,-
1537524044,C7qsif3NtdvXkpf8Jg,192.168.2.3,48278,52.119.164.214,443,tcp,NA,0.185046,31,0,RSTR,NA,NA,0,DRr,2,111,1,40,NA,-
1537524045,C2kh0m4QmeLs91Nw17,192.168.2.3,34920,52.46.129.41,443,tcp,NA,0.114456,53,0,RSTR,NA,NA,0,DRr,2,133,1,40,NA,-
1537524044,CNcEm33qyNjKIZ2o3j,192.168.2.3,49686,192.168.2.1,53,udp,dns,0.011373,46,62,SF,NA,NA,0,Dd,1,74,1,90,NA,-
1537523791,ChTjP14BZtCr5xO031,192.168.2.3,37475,205.251.243.55,443,tcp,ssl,1.161052,3219,5271,S1,NA,NA,0,ShADad,18,3995,15,6910,NA,-
1537523555,CrGqFe2ATWpJNiuPBg,192.168.2.3,47125,172.217.23.238,80,tcp,http,240.072298,176,83,S3,NA,NA,0,ShADadf,5,444,4,299,NA,-
1537523555,CPEQ8k2iycK30H7fDi,192.168.2.3,48817,13.32.118.129,443,tcp,ssl,245.988358,673,336516351,S3,NA,NA,0,ShADadttWWtf,123657,6527241,239484,349618679,NA,-
1537524122,CcHuZ21Rk06vp7Ghmd,169.254.15.115,5353,224.0.0.251,5353,udp,dns,7.006697,804,0,S0,NA,NA,0,D,4,916,0,0,NA,-
1537524122,CsAJzi1sERnqbherhd,192.168.2.1,5353,224.0.0.251,5353,udp,dns,7.006537,804,0,S0,NA,NA,0,D,4,916,0,0,NA,-
1537524122,CeCIHsLaiSujUrHV9,fe80::80e6:50ff:fe12:1464,5353,ff02::fb,5353,udp,dns,7.006526,804,0,S0,NA,NA,0,D,4,996,0,0,NA,-
1537524151,C7XJjC1ktuNOSlVcec,192.168.2.3,40634,93.184.216.34,80,tcp,NA,0.249356,0,0,SF,NA,NA,0,ShAFaf,4,216,3,164,NA,-
1537524151,C8UIrfqYyUqh8uNH9,192.168.2.3,40635,93.184.216.34,80,tcp,NA,0.240893,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537523851,CE4A3d3rahnJctNs7a,192.168.2.3,60226,52.216.104.139,80,tcp,http,300.343867,146,775,SF,NA,NA,0,ShADadfF,12,670,7,1486,NA,-
1537524151,CvUBU2e4iYaRTCZ1h,192.168.2.3,40636,93.184.216.34,80,tcp,NA,0.253883,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537524151,Cx86mb4KHhWrcDzPwl,192.168.2.3,10872,192.168.2.1,53,udp,dns,0.02249,43,111,SF,NA,NA,0,Dd,1,71,1,139,NA,-
1537524152,CQAeCs30BJMkmdiWp,192.168.2.3,47996,192.168.2.1,53,udp,dns,0.011272,36,68,SF,NA,NA,0,Dd,1,64,1,96,NA,-
1537524152,CnmVTW8fDMoXioRi8,192.168.2.3,1051,192.168.2.1,53,udp,dns,0.005843,36,68,SF,NA,NA,0,Dd,1,64,1,96,NA,-
1537524157,CEcUJeKZ1DEkJ3yP3,192.168.2.3,60226,52.216.104.139,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524163,CWtigp2Toin8haz5jk,192.168.2.3,60226,52.216.104.139,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524054,CYIzgj3Rjys82e691c,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.33021,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524174,Ctzjd140oNyDT0FRMj,192.168.2.3,60226,52.216.104.139,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524196,CgJmqk4l837xKtC2gb,192.168.2.3,60226,52.216.104.139,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524151,Cu0lwvOBXIjiAq1Kl,192.168.2.3,8,192.168.2.1,0,icmp,NA,0.017387,560,560,OTH,NA,NA,0,NA,10,840,10,840,NA,-
1537524152,CyeCsG4UJYSZTzoDX,192.168.2.3,53041,207.171.178.6,123,udp,NA,0.192012,48,48,SF,NA,NA,0,Dd,1,76,1,76,NA,-
1537524152,CnYZEP2tYlcD7BqY7j,192.168.2.3,41130,207.171.178.6,123,udp,NA,0.194384,48,48,SF,NA,NA,0,Dd,1,76,1,76,NA,-
1537524241,Ct2rQk3kR4B5RQp83f,192.168.2.3,60226,52.216.104.139,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524274,CWHQUh1SZH2FMfeWu4,192.168.2.3,26096,192.168.2.1,53,udp,dns,0.010912,41,57,SF,NA,NA,0,Dd,1,69,1,85,NA,-
1537524182,CHA0F11hUNOIeSnP3h,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.780831,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524044,Cm9UDg2c4yKzE0nN6l,192.168.2.3,58974,72.21.207.87,443,tcp,ssl,299.896211,13395,4865,SF,NA,NA,0,ShADadfFr,27,14519,20,6121,NA,-
1537524344,CSpDXr4alS5W2xzv48,192.168.2.3,19423,192.168.2.1,53,udp,dns,0.010136,46,62,SF,NA,NA,0,Dd,1,74,1,90,NA,-
1537524344,C5RvjtgVhGIaqgoK5,192.168.2.3,34788,52.94.228.52,443,tcp,ssl,59.252172,16824,4865,RSTR,NA,NA,0,ShADadfr,27,17948,21,6161,NA,-
1537524311,C11Htg3D1vTLLcueQ2,0.0.0.0,68,255.255.255.255,67,udp,dhcp,58.676946,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524452,C850C91q1wUQn4EAF2,192.168.2.3,40637,93.184.216.34,80,tcp,NA,0.238593,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537524452,CdugxT26lDUMlrrbS4,192.168.2.3,40638,93.184.216.34,80,tcp,NA,0.240306,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537524151,CTUd5Y1vxiRlX44IJk,192.168.2.3,49214,52.216.227.176,80,tcp,http,300.428794,146,775,SF,NA,NA,0,ShADadfF,11,606,5,987,NA,-
1537524452,CfOHFx3zkY0QXPwLZ2,192.168.2.3,40639,93.184.216.34,80,tcp,NA,0.364352,0,0,SF,NA,NA,0,ShAFf,4,216,2,112,NA,-
1537524452,CxT49O2UlPhbawlkWj,192.168.2.3,3063,192.168.2.1,53,udp,dns,0.013047,43,111,SF,NA,NA,0,Dd,1,71,1,139,NA,-
1537524457,CEOyqM3mt0ePwtiZMk,192.168.2.3,49214,52.216.227.176,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524462,CKqjO925LujkxeKBWf,192.168.2.3,59013,52.94.241.86,80,tcp,http,0.227328,157,371,SF,NA,NA,0,ShADafF,4,337,4,539,NA,-
1537524463,ConJuQ1a8lY4yTMx6c,192.168.2.3,49214,52.216.227.176,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524462,Camc9g4Xjp4NtYCJLh,192.168.2.3,33457,192.168.2.1,53,udp,dns,0.013023,40,56,SF,NA,NA,0,Dd,1,68,1,84,NA,-
1537524474,C29UT24VwzcW1OL6Yf,192.168.2.3,49214,52.216.227.176,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524495,CH5jutLvIDLNH50v7,192.168.2.3,49214,52.216.227.176,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524451,CdB7vV3wZJhvuqikT7,192.168.2.3,8,192.168.2.1,0,icmp,NA,0.035211,560,560,OTH,NA,NA,0,NA,10,840,10,840,NA,-
1537524452,CJR8lH3EJwG9YE709k,192.168.2.3,40065,207.171.178.6,123,udp,NA,0.190866,48,48,SF,NA,NA,0,Dd,1,76,1,76,NA,-
1537524452,CIPxti3YWAKCGjgpn3,192.168.2.3,37809,207.171.178.6,123,udp,NA,NA,NA,NA,S0,NA,NA,0,D,1,76,0,0,NA,-
1537524539,CN7YyU3taEx2VUEmB8,192.168.2.3,49214,52.216.227.176,80,tcp,NA,NA,NA,NA,SH,NA,NA,0,F,1,40,0,0,NA,-
1537524438,CG6xPg1dvIxUbXrKid,0.0.0.0,68,255.255.255.255,67,udp,dhcp,60.359848,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524274,C6PQgN380y2VnxHNi3,192.168.2.3,56916,52.119.162.179,443,tcp,ssl,8.929202,1094,5864,S3,NA,NA,0,ShADadtf,15,2452,15,6700,NA,-
1537524567,CCWpio4JlI4dx8ySvg,0.0.0.0,68,255.255.255.255,67,udp,dhcp,60.85814,3000,0,S0,NA,NA,0,D,10,3280,0,0,NA,-
1537524688,CbVIpZ2oUEUWDWk6Dc,192.168.2.1,5353,224.0.0.251,5353,udp,dns,NA,NA,NA,S0,NA,NA,0,D,1,77,0,0,NA,-
